Sample in Buffer,Sample in Window,TRIGGER,Aquila_SoC/RISCV_CORE0/Fetch/pc_o[31:0],Aquila_SoC/RISCV_CORE0/Register_File/x_reg[10]_88[31:0],Aquila_SoC/RISCV_CORE0/Register_File/x_reg[15]_93[31:0],Aquila_SoC/RISCV_CORE0/Register_File/x_reg[14]_92[31:0],Aquila_SoC/RISCV_CORE0/Register_File/x_reg[11]_89[31:0],Aquila_SoC/RISCV_CORE0/Execute/stall_i
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,2108,0000000a,8,c0000000,0,0
1,1,0,0000210c,0000000a,8,c0000000,0,0
2,2,0,2104,0000000a,8,c0000000,0,0
3,3,0,2108,0000000a,8,c0000000,0,0
4,4,0,2108,0000000a,8,c0000000,0,1
5,5,0,2108,0000000a,8,c0000000,0,0
6,6,0,0000210c,0000000a,8,c0000000,0,0
7,7,0,2104,0000000a,8,c0000000,0,0
8,8,0,2108,0000000a,8,c0000000,0,0
9,9,0,2108,0000000a,8,c0000000,0,1
10,10,0,2108,0000000a,8,c0000000,0,0
11,11,0,0000210c,0000000a,8,c0000000,0,0
12,12,0,2104,0000000a,8,c0000000,0,0
13,13,0,2108,0000000a,8,c0000000,0,0
14,14,0,2108,0000000a,8,c0000000,0,1
15,15,0,2108,0000000a,8,c0000000,0,0
16,16,0,0000210c,0000000a,8,c0000000,0,0
17,17,0,2104,0000000a,8,c0000000,0,0
18,18,0,2108,0000000a,8,c0000000,0,0
19,19,0,2108,0000000a,8,c0000000,0,1
20,20,0,2108,0000000a,8,c0000000,0,0
21,21,0,0000210c,0000000a,8,c0000000,0,0
22,22,0,2104,0000000a,8,c0000000,0,0
23,23,0,2108,0000000a,8,c0000000,0,0
24,24,0,2108,0000000a,8,c0000000,0,1
25,25,0,2108,0000000a,8,c0000000,0,0
26,26,0,0000210c,0000000a,8,c0000000,0,0
27,27,0,2104,0000000a,8,c0000000,0,0
28,28,0,2108,0000000a,8,c0000000,0,0
29,29,0,2108,0000000a,8,c0000000,0,1
30,30,0,2108,0000000a,8,c0000000,0,0
31,31,0,0000210c,0000000a,8,c0000000,0,0
32,32,0,2104,0000000a,8,c0000000,0,0
33,33,0,2108,0000000a,8,c0000000,0,0
34,34,0,2108,0000000a,8,c0000000,0,1
35,35,0,2108,0000000a,8,c0000000,0,0
36,36,0,0000210c,0000000a,8,c0000000,0,0
37,37,0,2104,0000000a,8,c0000000,0,0
38,38,0,2108,0000000a,8,c0000000,0,0
39,39,0,2108,0000000a,8,c0000000,0,1
40,40,0,2108,0000000a,8,c0000000,0,0
41,41,0,0000210c,0000000a,8,c0000000,0,0
42,42,0,2104,0000000a,8,c0000000,0,0
43,43,0,2108,0000000a,8,c0000000,0,0
44,44,0,2108,0000000a,8,c0000000,0,1
45,45,0,2108,0000000a,8,c0000000,0,0
46,46,0,0000210c,0000000a,8,c0000000,0,0
47,47,0,2104,0000000a,8,c0000000,0,0
48,48,0,2108,0000000a,8,c0000000,0,0
49,49,0,2108,0000000a,8,c0000000,0,1
50,50,0,2108,0000000a,8,c0000000,0,0
51,51,0,0000210c,0000000a,8,c0000000,0,0
52,52,0,2104,0000000a,8,c0000000,0,0
53,53,0,2108,0000000a,8,c0000000,0,0
54,54,0,2108,0000000a,8,c0000000,0,1
55,55,0,2108,0000000a,8,c0000000,0,0
56,56,0,0000210c,0000000a,8,c0000000,0,0
57,57,0,2104,0000000a,8,c0000000,0,0
58,58,0,2108,0000000a,8,c0000000,0,0
59,59,0,2108,0000000a,8,c0000000,0,1
60,60,0,2108,0000000a,8,c0000000,0,0
61,61,0,0000210c,0000000a,8,c0000000,0,0
62,62,0,2104,0000000a,8,c0000000,0,0
63,63,0,2108,0000000a,8,c0000000,0,0
64,64,0,2108,0000000a,8,c0000000,0,1
65,65,0,2108,0000000a,8,c0000000,0,0
66,66,0,0000210c,0000000a,8,c0000000,0,0
67,67,0,2104,0000000a,8,c0000000,0,0
68,68,0,2108,0000000a,8,c0000000,0,0
69,69,0,2108,0000000a,8,c0000000,0,1
70,70,0,2108,0000000a,8,c0000000,0,0
71,71,0,0000210c,0000000a,8,c0000000,0,0
72,72,0,2104,0000000a,8,c0000000,0,0
73,73,0,2108,0000000a,8,c0000000,0,0
74,74,0,2108,0000000a,8,c0000000,0,1
75,75,0,2108,0000000a,8,c0000000,0,0
76,76,0,0000210c,0000000a,8,c0000000,0,0
77,77,0,2104,0000000a,8,c0000000,0,0
78,78,0,2108,0000000a,8,c0000000,0,0
79,79,0,2108,0000000a,8,c0000000,0,1
80,80,0,2108,0000000a,8,c0000000,0,0
81,81,0,0000210c,0000000a,8,c0000000,0,0
82,82,0,2104,0000000a,8,c0000000,0,0
83,83,0,2108,0000000a,8,c0000000,0,0
84,84,0,2108,0000000a,8,c0000000,0,1
85,85,0,2108,0000000a,8,c0000000,0,0
86,86,0,0000210c,0000000a,8,c0000000,0,0
87,87,0,2104,0000000a,8,c0000000,0,0
88,88,0,2108,0000000a,8,c0000000,0,0
89,89,0,2108,0000000a,8,c0000000,0,1
90,90,0,2108,0000000a,8,c0000000,0,0
91,91,0,0000210c,0000000a,8,c0000000,0,0
92,92,0,2104,0000000a,8,c0000000,0,0
93,93,0,2108,0000000a,8,c0000000,0,0
94,94,0,2108,0000000a,8,c0000000,0,1
95,95,0,2108,0000000a,8,c0000000,0,0
96,96,0,0000210c,0000000a,8,c0000000,0,0
97,97,0,2104,0000000a,8,c0000000,0,0
98,98,0,2108,0000000a,8,c0000000,0,0
99,99,0,2108,0000000a,8,c0000000,0,1
100,100,0,2108,0000000a,8,c0000000,0,0
101,101,0,0000210c,0000000a,8,c0000000,0,0
102,102,0,2104,0000000a,8,c0000000,0,0
103,103,0,2108,0000000a,8,c0000000,0,0
104,104,0,2108,0000000a,8,c0000000,0,1
105,105,0,2108,0000000a,8,c0000000,0,0
106,106,0,0000210c,0000000a,8,c0000000,0,0
107,107,0,2104,0000000a,8,c0000000,0,0
108,108,0,2108,0000000a,8,c0000000,0,0
109,109,0,2108,0000000a,8,c0000000,0,1
110,110,0,2108,0000000a,8,c0000000,0,0
111,111,0,0000210c,0000000a,8,c0000000,0,0
112,112,0,2104,0000000a,8,c0000000,0,0
113,113,0,2108,0000000a,8,c0000000,0,0
114,114,0,2108,0000000a,8,c0000000,0,1
115,115,0,2108,0000000a,8,c0000000,0,0
116,116,0,0000210c,0000000a,8,c0000000,0,0
117,117,0,2104,0000000a,8,c0000000,0,0
118,118,0,2108,0000000a,8,c0000000,0,0
119,119,0,2108,0000000a,8,c0000000,0,1
120,120,0,2108,0000000a,8,c0000000,0,0
121,121,0,0000210c,0000000a,8,c0000000,0,0
122,122,0,2104,0000000a,8,c0000000,0,0
123,123,0,2108,0000000a,8,c0000000,0,0
124,124,0,2108,0000000a,8,c0000000,0,1
125,125,0,2108,0000000a,8,c0000000,0,0
126,126,0,0000210c,0000000a,8,c0000000,0,0
127,127,0,2104,0000000a,8,c0000000,0,0
128,128,0,2108,0000000a,8,c0000000,0,0
129,129,0,2108,0000000a,8,c0000000,0,1
130,130,0,2108,0000000a,8,c0000000,0,0
131,131,0,0000210c,0000000a,8,c0000000,0,0
