Sample in Buffer,Sample in Window,TRIGGER,Aquila_SoC/RISCV_CORE0/Fetch/pc_o[31:0],Aquila_SoC/RISCV_CORE0/Register_File/x_reg[10]_88[31:0],Aquila_SoC/RISCV_CORE0/Register_File/x_reg[15]_93[31:0],Aquila_SoC/RISCV_CORE0/Register_File/x_reg[14]_92[31:0],Aquila_SoC/RISCV_CORE0/Register_File/x_reg[11]_89[31:0],Aquila_SoC/RISCV_CORE0/Execute/stall_i
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0000216c,12f9d463,00010000,00000000,00000000,0
1,1,0,00002170,12f9d463,00010000,00000000,00000000,0
2,2,0,00002174,12f9d463,00010000,00000000,00000000,0
3,3,0,00002174,12f9d463,00000032,00000000,00000000,1
4,4,0,00002174,12f9d463,00000032,00000000,00000000,0
5,5,0,00002178,12f9d463,00000032,00000000,00000000,0
6,6,0,0000217c,12f9d463,00000006,00000000,00000000,0
7,7,0,00002180,12f9d463,00000006,00000000,00000000,0
8,8,0,00002184,12f9d463,00000006,00000000,00000000,0
9,9,0,00002188,12f9d463,00000020,00000000,00000000,0
10,10,0,0000218c,12f9d463,0000001a,00000000,00000000,0
11,11,0,00002190,12f9d463,0000001a,00000000,00000000,0
12,12,0,00002194,12f9d463,0000001a,00000000,00000000,0
13,13,0,00002198,12f9d463,0000001a,00000000,00000000,0
14,14,0,0000219c,12f9d463,0000001a,00000000,00000000,0
15,15,0,000021a0,12f9d463,0000001a,00000000,00000000,0
16,16,0,000021a0,12f9d463,0000001a,00000000,00000000,0
17,17,0,000021a0,12f9d463,0000001a,00000000,00000000,0
18,18,0,000021a0,12f9d463,0000001a,00000000,00000000,0
19,19,0,000021a0,12f9d463,0000001a,00000000,00000000,0
20,20,0,000021a0,12f9d463,0000001a,00000000,00000000,0
21,21,0,000021a0,12f9d463,0000001a,00000000,00000000,0
22,22,0,000021a0,12f9d463,0000001a,00000000,00000000,0
23,23,0,000021a0,12f9d463,0000001a,00000000,00000000,0
24,24,0,000021a0,12f9d463,0000001a,00000000,00000000,0
25,25,0,000021a0,12f9d463,0000001a,00000000,00000000,0
26,26,0,000021a0,12f9d463,0000001a,00000000,00000000,0
27,27,0,000021a0,12f9d463,0000001a,00000000,00000000,0
28,28,0,000021a0,12f9d463,0000001a,00000000,00000000,0
29,29,0,000021a0,12f9d463,0000001a,00000000,00000000,0
30,30,0,000021a0,12f9d463,0000001a,00000000,00000000,0
31,31,0,000021a0,12f9d463,0000001a,00000000,00000000,0
32,32,0,000021a0,12f9d463,0000001a,00000000,00000000,0
33,33,0,000021a0,12f9d463,0000001a,00000000,00000000,0
34,34,0,000021a0,12f9d463,0000001a,00000000,00000000,0
35,35,0,000021a0,12f9d463,0000001a,00000000,00000000,0
36,36,0,000021a0,12f9d463,0000001a,00000000,00000000,0
37,37,0,000021a0,12f9d463,0000001a,00000000,00000000,0
38,38,0,000021a0,12f9d463,0000001a,00000000,00000000,0
39,39,0,000021a0,12f9d463,0000001a,00000000,00000000,0
40,40,0,000021a0,12f9d463,0000001a,00000000,00000000,0
41,41,0,000021a0,12f9d463,0000001a,00000000,00000000,0
42,42,0,000021a0,12f9d463,0000001a,00000000,00000000,0
43,43,0,000021a0,12f9d463,0000001a,00000000,00000000,0
44,44,0,000021a0,12f9d463,0000001a,00000000,00000000,0
45,45,0,000021a0,12f9d463,0000001a,00000000,00000000,0
46,46,0,000021a0,12f9d463,0000001a,00000000,00000000,0
47,47,0,000021a0,12f9d463,0000001a,00000000,00000000,0
48,48,0,000021a0,12f9d463,0000001a,00000000,00000000,0
49,49,0,000021a0,12f9d463,0000001a,00000000,00000000,0
50,50,0,000021a0,12f9d463,0000001a,00000000,00000000,0
51,51,0,000021a0,12f9d463,0000001a,00000000,00000000,0
52,52,0,000021a4,12f9d463,0000001a,00000000,00000000,0
53,53,0,000021a8,12f9d463,0000001a,00000000,00000000,0
54,54,0,000021ac,12f9d463,00001f51,00000000,00000000,0
55,55,0,000021b0,12f9d463,00001f51,00000000,00000000,0
56,56,0,000021b0,12f9d463,00001f51,00000000,00000000,0
57,57,0,000021b0,12f9d463,00001f51,00000000,00000000,0
58,58,0,000021b0,12f9d463,00001f51,00000000,00000000,0
59,59,0,000021b0,12f9d463,00001f51,00000000,00000000,0
60,60,0,000021b0,12f9d463,00001f51,00000000,00000000,0
61,61,0,000021b0,12f9d463,00001f51,00000000,00000000,0
62,62,0,000021b0,12f9d463,00001f51,00000000,00000000,0
63,63,0,000021b0,12f9d463,00001f51,00000000,00000000,0
64,64,0,000021b0,12f9d463,00001f51,00000000,00000000,0
65,65,0,000021b0,12f9d463,00001f51,00000000,00000000,0
66,66,0,000021b0,12f9d463,00001f51,00000000,00000000,0
67,67,0,000021b0,12f9d463,00001f51,00000000,00000000,0
68,68,0,000021b0,12f9d463,00001f51,00000000,00000000,0
69,69,0,000021b0,12f9d463,00001f51,00000000,00000000,0
70,70,0,000021b0,12f9d463,00001f51,00000000,00000000,0
71,71,0,000021b0,12f9d463,00001f51,00000000,00000000,0
72,72,0,000021b0,12f9d463,00001f51,00000000,00000000,0
73,73,0,000021b0,12f9d463,00001f51,00000000,00000000,0
74,74,0,000021b0,12f9d463,00001f51,00000000,00000000,0
75,75,0,000021b0,12f9d463,00001f51,00000000,00000000,0
76,76,0,000021b0,12f9d463,00001f51,00000000,00000000,0
77,77,0,000021b0,12f9d463,00001f51,00000000,00000000,0
78,78,0,000021b0,12f9d463,00001f51,00000000,00000000,0
79,79,0,000021b0,12f9d463,00001f51,00000000,00000000,0
80,80,0,000021b0,12f9d463,00001f51,00000000,00000000,0
81,81,0,000021b0,12f9d463,00001f51,00000000,00000000,0
82,82,0,000021b0,12f9d463,00001f51,00000000,00000000,0
83,83,0,000021b0,12f9d463,00001f51,00000000,00000000,0
84,84,0,000021b0,12f9d463,00001f51,00000000,00000000,0
85,85,0,000021b0,12f9d463,00001f51,00000000,00000000,0
86,86,0,000021b0,12f9d463,00001f51,00000000,00000000,0
87,87,0,000021b0,12f9d463,00001f51,00000000,00000000,0
88,88,0,000021b0,12f9d463,00001f51,00000000,00000000,0
89,89,0,000021b0,12f9d463,00001f51,00000000,00000000,0
90,90,0,000021b0,12f9d463,00001f51,00000000,00000000,0
91,91,0,000021b0,12f9d463,00001f51,00000000,00000000,0
92,92,0,000021b4,12f9d463,00001f51,00000000,00000000,0
93,93,0,000021b8,12f9d463,00001f51,00000000,00000000,0
94,94,0,000021bc,12f9d463,00001f51,00000000,00000000,0
95,95,0,000021bc,12f9d463,1f510000,00000000,00000000,0
96,96,0,000021bc,12f9d463,1f510000,00000000,00000000,0
97,97,0,000021c0,12f9d463,1f510000,00000000,00000000,0
98,98,0,000021c4,12f9d463,1f510000,00000000,00000000,0
99,99,0,000021c8,12f9d463,1f510000,00000000,00000000,0
100,100,0,000021dc,12f9d463,00000061,00000000,00000000,0
101,101,0,000021e0,12f9d463,00000061,00000000,00000000,0
102,102,0,000021e4,12f9d463,00000061,00000000,00000000,0
103,103,0,000021e4,12f9d463,00000061,00000000,00000000,0
104,104,0,000021e4,12f9d463,00000061,00000000,00000000,0
105,105,0,000021e4,12f9d463,00000061,00000000,00000000,0
106,106,0,000021e4,12f9d463,00000061,00000000,00000000,0
107,107,0,000021e4,12f9d463,00000061,00000000,00000000,0
108,108,0,000021e4,12f9d463,00000061,00000000,00000000,0
109,109,0,000021e4,12f9d463,00000061,00000000,00000000,0
110,110,0,000021e4,12f9d463,00000061,00000000,00000000,0
111,111,0,000021e4,12f9d463,00000061,00000000,00000000,0
112,112,0,000021e4,12f9d463,00000061,00000000,00000000,0
113,113,0,000021e4,12f9d463,00000061,00000000,00000000,0
114,114,0,000021e4,12f9d463,00000061,00000000,00000000,0
115,115,0,000021e4,12f9d463,00000061,00000000,00000000,0
116,116,0,000021e4,12f9d463,00000061,00000000,00000000,0
117,117,0,000021e4,12f9d463,00000061,00000000,00000000,0
118,118,0,000021e4,12f9d463,00000061,00000000,00000000,0
119,119,0,000021e4,12f9d463,00000061,00000000,00000000,0
120,120,0,000021e4,12f9d463,00000061,00000000,00000000,0
121,121,0,000021e4,12f9d463,00000061,00000000,00000000,0
122,122,0,000021e4,12f9d463,00000061,00000000,00000000,0
123,123,0,000021e4,12f9d463,00000061,00000000,00000000,0
124,124,0,000021e4,12f9d463,00000061,00000000,00000000,0
125,125,0,000021e4,12f9d463,00000061,00000000,00000000,0
126,126,0,000021e4,12f9d463,00000061,00000000,00000000,0
127,127,0,000021e4,12f9d463,00000061,00000000,00000000,0
128,128,0,000021e4,12f9d463,00000061,00000000,00000000,0
129,129,0,000021e4,12f9d463,00000061,00000000,00000000,0
130,130,0,000021e4,12f9d463,00000061,00000000,00000000,0
131,131,0,000021e4,12f9d463,00000061,00000000,00000000,0
132,132,0,000021e4,12f9d463,00000061,00000000,00000000,0
133,133,0,000021e4,12f9d463,00000061,00000000,00000000,0
134,134,0,000021e4,12f9d463,00000061,00000000,00000000,0
135,135,0,000021e4,12f9d463,00000061,00000000,00000000,0
136,136,0,000021e4,12f9d463,00000061,00000000,00000000,0
137,137,0,000021e4,12f9d463,00000061,00000000,00000000,0
138,138,0,000021e4,12f9d463,00000061,00000000,00000000,0
