Sample in Buffer,Sample in Window,TRIGGER,pc_o[31:0],stall_i,x_reg[10],x_reg[11],x_reg[14],x_reg[15]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,000000bc,0,0000000a,0,c0000008,8
1,1,0,000000c0,0,0000000a,0,c0000008,8
2,2,0,000000c0,1,0000000a,0,c0000008,8
3,3,0,000000c0,0,0000000a,0,c0000008,8
4,4,0,000000c4,0,0000000a,0,c0000008,8
5,5,0,000000bc,0,0000000a,0,c0000008,8
6,6,0,000000c0,0,0000000a,0,c0000008,8
7,7,0,000000c0,1,0000000a,0,c0000008,8
8,8,0,000000c0,0,0000000a,0,c0000008,8
9,9,0,000000c4,0,0000000a,0,c0000008,8
10,10,0,000000bc,0,0000000a,0,c0000008,8
11,11,0,000000c0,0,0000000a,0,c0000008,8
12,12,0,000000c0,1,0000000a,0,c0000008,8
13,13,0,000000c0,0,0000000a,0,c0000008,8
14,14,0,000000c4,0,0000000a,0,c0000008,8
15,15,0,000000bc,0,0000000a,0,c0000008,8
16,16,0,000000c0,0,0000000a,0,c0000008,8
17,17,0,000000c0,1,0000000a,0,c0000008,8
18,18,0,000000c0,0,0000000a,0,c0000008,8
19,19,0,000000c4,0,0000000a,0,c0000008,8
20,20,0,000000bc,0,0000000a,0,c0000008,8
21,21,0,000000c0,0,0000000a,0,c0000008,8
22,22,0,000000c0,1,0000000a,0,c0000008,8
23,23,0,000000c0,0,0000000a,0,c0000008,8
24,24,0,000000c4,0,0000000a,0,c0000008,8
25,25,0,000000bc,0,0000000a,0,c0000008,8
26,26,0,000000c0,0,0000000a,0,c0000008,8
27,27,0,000000c0,1,0000000a,0,c0000008,8
28,28,0,000000c0,0,0000000a,0,c0000008,8
29,29,0,000000c4,0,0000000a,0,c0000008,8
30,30,0,000000bc,0,0000000a,0,c0000008,8
31,31,0,000000c0,0,0000000a,0,c0000008,8
32,32,0,000000c0,1,0000000a,0,c0000008,8
33,33,0,000000c0,0,0000000a,0,c0000008,8
34,34,0,000000c4,0,0000000a,0,c0000008,8
35,35,0,000000bc,0,0000000a,0,c0000008,8
36,36,0,000000c0,0,0000000a,0,c0000008,8
37,37,0,000000c0,1,0000000a,0,c0000008,8
38,38,0,000000c0,0,0000000a,0,c0000008,8
39,39,0,000000c4,0,0000000a,0,c0000008,8
40,40,0,000000bc,0,0000000a,0,c0000008,8
41,41,0,000000c0,0,0000000a,0,c0000008,8
42,42,0,000000c0,1,0000000a,0,c0000008,8
43,43,0,000000c0,0,0000000a,0,c0000008,8
44,44,0,000000c4,0,0000000a,0,c0000008,8
45,45,0,000000bc,0,0000000a,0,c0000008,8
46,46,0,000000c0,0,0000000a,0,c0000008,8
47,47,0,000000c0,1,0000000a,0,c0000008,8
48,48,0,000000c0,0,0000000a,0,c0000008,8
49,49,0,000000c4,0,0000000a,0,c0000008,8
50,50,0,000000bc,0,0000000a,0,c0000008,8
51,51,0,000000c0,0,0000000a,0,c0000008,8
52,52,0,000000c0,1,0000000a,0,c0000008,8
53,53,0,000000c0,0,0000000a,0,c0000008,8
54,54,0,000000c4,0,0000000a,0,c0000008,8
55,55,0,000000bc,0,0000000a,0,c0000008,8
56,56,0,000000c0,0,0000000a,0,c0000008,8
57,57,0,000000c0,1,0000000a,0,c0000008,8
58,58,0,000000c0,0,0000000a,0,c0000008,8
59,59,0,000000c4,0,0000000a,0,c0000008,8
60,60,0,000000bc,0,0000000a,0,c0000008,8
61,61,0,000000c0,0,0000000a,0,c0000008,8
