Sample in Buffer,Sample in Window,TRIGGER,Aquila_SoC/RISCV_CORE0/Decode/pc_o[31:0],Aquila_SoC/RISCV_CORE0/exe_branch_misprediction
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,1,00001000,0
1,1,0,00001004,0
2,2,0,00001008,0
3,3,0,00001008,0
4,4,0,0000100c,0
5,5,0,00001010,0
6,6,0,00001010,0
7,7,0,00001014,0
8,8,0,00001018,0
9,9,0,00001018,0
10,10,0,0000101c,0
11,11,0,00001020,0
12,12,0,00004ce0,0
13,13,0,00004ce4,0
14,14,0,00004ce8,0
15,15,0,00004cec,0
16,16,0,00004cec,0
17,17,0,00004cf0,0
18,18,0,00004cf0,0
19,19,0,00004cf4,0
20,20,0,00004cf4,0
21,21,0,00004cf8,0
22,22,0,00004cfc,0
23,23,0,00004cfc,0
24,24,0,00004d00,0
25,25,0,00004d00,0
26,26,0,00004d04,0
27,27,0,00004d04,0
28,28,0,00004d08,0
29,29,0,00004d08,0
30,30,0,00004d0c,0
31,31,0,00004d0c,0
32,32,0,00004d10,0
33,33,0,00004d10,0
34,34,0,00004d14,0
35,35,0,00004d14,0
36,36,0,00004d18,0
37,37,0,00004d18,0
38,38,0,00004d1c,0
39,39,0,00004d1c,0
40,40,0,00004d20,0
41,41,0,00004d20,0
42,42,0,00004d24,0
43,43,0,00004d28,0
44,44,0,00001b78,0
45,45,0,00001b7c,0
46,46,0,00001b80,0
47,47,0,00001b84,0
48,48,0,00001b84,0
49,49,0,00001b88,0
50,50,0,00001b88,0
51,51,0,00001b88,0
52,52,0,00001b8c,0
53,53,0,00001b90,0
54,54,0,00001c28,0
55,55,0,00001c2c,0
56,56,0,00001c30,0
57,57,0,00001c34,0
58,58,0,00001c34,0
59,59,0,00001c38,0
60,60,0,00001c38,0
61,61,0,00001c3c,0
62,62,0,00001c3c,0
63,63,0,00001c40,0
64,64,0,00001c44,0
65,65,0,00001c48,0
66,66,0,00001c48,0
67,67,0,00001c4c,0
68,68,0,00001c4c,0
69,69,0,00001c50,0
70,70,0,00001c54,0
71,71,0,00001c58,0
72,72,0,00001b94,0
73,73,0,00001b98,0
74,74,0,00001b98,0
75,75,0,00001b98,0
76,76,0,00001b9c,0
77,77,0,00001ba0,0
78,78,0,00001ba4,0
79,79,0,00001ba8,0
80,80,0,00001bac,0
81,81,0,00001be4,0
82,82,0,00001be8,0
83,83,0,00001bec,0
84,84,0,00001bf0,0
85,85,0,00001bf4,0
